Appartementsbouw	Bouwwerken De Kimpe	't Jongestraat, 11/B 11 B9080 ZAFFELARE		0499 27 71 40	info@bouwwerkendekimpe.be	BTW BE 0887.315.022	www.bouwwerkendekimpe.be
Appartementsbouw	Den Blauwen Xavier	Poekestraat 24 9880 AALTER	0478 27 78 43	0476 50 49 77	info@denblauwenxavierbvba.be	BTW BE 0807.291.507	www.denblauwenxavierbvba.be
Appartementsbouw	Hadibouw	Lierseweg 325 2200 HERENTALS	014 23 11 71		info@hadibouw.be	BTW BE 0442.712.750	www.hadibouw.be
Appartementsbouw	IQ-Bouw	Kleinveld 6 3746 HOELBEEK	089 21 50 80		info@iq-bouw.be	BTW BE 0830.292.977	www.iq-bouw.be
Appartementsbouw	Jkb Bouw	Broekstraat 77 9290 OVERMERE		0485 14 11 68	info@jkb-bouw.be	BTW BE 0840.356.332	www.jkb-bouw.be
Appartementsbouw	Mylle Patrick	'S Gravendriesschelaan 20 8480 EERNEGEM		0477 66 99 37	info@myllep.be	BTW BE 0682.268.702	www.myllep.be
Appartementsbouw	Patrick Van Bogaert bv	Pareinpark, 25 25 9120 BEVEREN	03 755 05 55		patrick@patrickvanbogaert.be	BTW BE 0475.200.426	www.patrickvanbogaert.be
Appartementsbouw	Van Damme Algemene Bouwwerken	LEDERGEMSTRAAT, 30 30 9041 GENT (OOSTAKKER)	09 251 14 88	0473 24 95 44	info@vandammebouw.be	BTW BE 0441.635.060	www.vandammebouw.be
Appartementsbouw	AB-dl	bosduifweg 5 2223 SCHRIEK	0491 97 70 02		Ab-dl@live.be	BTW BE 0771.952.724	
Appartementsbouw	Algemene bouwonderneming Toon Willems BV	Beekhoek 43 D2440 GEEL		0498 57 54 45	info@abtoonwillems.be	BTW BE 0733.677.910	www.abtoonwillems.be
Appartementsbouw	Alratec	Koning Albertstraat 2 1760 ROOSDAAL	054 32 37 10		info@alratec.be	BTW BE 0415.501.676	www.alratec.be
Appartementsbouw	AMA Haarden	Starrenhoflaan 23 12950 KAPELLEN	03 605 96 76	0477 88 44 61	kim@amahaarden.com	BTW BE 0447.810.002	Www.amahaarden.com
Appartementsbouw	AY-Construct	Breendonkstraat 311 2830 WILLEBROEK		0497 70 67 08	info@ay-construct.be	BTW BE 0737.334.711	www.ay-construct.be
Appartementsbouw	Bouwwerken Cloet	Klokhof 15 8750 WINGENE			contact@cloetbouwt.be	BTW BE 0544.670.440	www.cloetbouwt.be
Appartementsbouw	bouwwerken meeuwesen bvba	Bredaseweg 11 2322 Hoogstraten	0497 93 94 14		info@uwthuis.be	BTW BE 0418.975.563	www.uwthuis.be
Appartementsbouw	Edima Invest	Molenstraat 3 8460 WESTKERKE	059 42 80 08		info@edima.be	BTW BE 0630.882.951	www.edima.be
Appartementsbouw	Ermi Construct	Lenniksebaan 1075 1602 VLEZENBEEK	02 567 15 81		info@ermibouw.be	BTW BE 0477.484.478	WWW.ERMIBOUW.BE
Appartementsbouw	Hooft Construct	Molenheide 11 1840 MALDEREN	052 33 28 38	0475 34 01 51	koen@hooftconstruct.be	BTW BE 0889.786.146	www.hooftconstruct.be
Appartementsbouw	INGELS	Callamerenstraat 85 9120 BEVEREN (KALLO)		0478 58 42 97	info@ingels.co	BTW BE 0687.588.755	www.ingels.co
Appartementsbouw	Izo tech	Herenstraat 81  3600 GENK		0486 14 68 09	izo-tech@hotmail.com	BTW BE 0682.666.204	
Appartementsbouw	Jacobs i3 bv	Industrieweg-Noord 1111 3660 OUDSBERGEN	089 85 35 35		pat@i3.be	BTW BE 0720.653.877	www.i3.be
Appartementsbouw	Kitvoegwerken Johny Daens bv	Ambachtstraat 58 3530 Helchteren	0495 25 41 55		info@kitvoegwerkendaens.be	BTW BE 0544.635.402	www.kitvoegwerkendaens.be
Appartementsbouw	Mannaerts Algemene Woningbouw	Pater Eymardstraat 15 3920 LOMMEL		0477 37 07 57		BTW BE 0878.494.455	www.mannaertswoningbouw.be
Appartementsbouw	Mathys	Elslo 34 9940 EVERGEM			info@mathys.com	BTW BE 0434.782.803	www.mathys.com
Appartementsbouw	NOBE BV	Burgemeester de cocklaan 10 19320 EREMBODEGEM	053 89 35 95		info@nb-projects.be	BTW BE 0728.938.964	www.nb-projects.be
Appartementsbouw	Residentie Vastgoed	Marktstraat 20 18460 OUDENBURG	059 25 05 90		info@residentievastgoed.be	BTW BE 0515.983.877	www.residentievastgoed.be
Appartementsbouw	Rutsaert bv	Steenstraat 100 9340 LEDE	053 77 70 31		info@rutsaertbvba.be	BTW BE 0453.968.710	rutsaertbvba.be
Appartementsbouw	SB-Woningbouw	Bedrijfsweg 1 3960 BREE		0497 44 91 80		BTW BE 0864.680.665	www.sb-woningbouw.be
Appartementsbouw	Schilderwerken Vansteelandt	Zevekotestraat 87 B8470 Gistel		0476 34 47 50	info@schilderwerkenvansteelandt.be	BTW BE 0508.968.403	www.schilderwerkenvansteelandt.be
Appartementsbouw	Stielmannen	Smallandlaan 1 2660 Hoboken		0486 48 49 59	stielmannen@gmail.com	BTW BE 0538.819.558	www.stielmannen.com
Betonbouw	Den Blauwen Xavier	Poekestraat 24 9880 AALTER	0478 27 78 43	0476 50 49 77	info@denblauwenxavierbvba.be	BTW BE 0807.291.507	www.denblauwenxavierbvba.be
Betonbouw	Mylle Patrick	'S Gravendriesschelaan 20 8480 EERNEGEM		0477 66 99 37	info@myllep.be	BTW BE 0682.268.702	www.myllep.be
Betonbouw	Van Damme Algemene Bouwwerken	LEDERGEMSTRAAT, 30 30 9041 GENT (OOSTAKKER)	09 251 14 88	0473 24 95 44	info@vandammebouw.be	BTW BE 0441.635.060	www.vandammebouw.be
Betonbouw	AB-dl	bosduifweg 5 2223 SCHRIEK	0491 97 70 02		Ab-dl@live.be	BTW BE 0771.952.724	
Betonbouw	Bouwbedrijf De Neve	Oude Bruggestraat 48 8750 WINGENE		0472 63 47 55	info@bouwbedrijfdeneve.be	BTW BE 0639.982.739	www.bouwbedrijfdeneve.be
Betonbouw	Bouwwerken Cloet	Klokhof 15 8750 WINGENE			contact@cloetbouwt.be	BTW BE 0544.670.440	www.cloetbouwt.be
Betonbouw	De Roover Louis &  Zoon	Tremelosesteenweg 210 3130 BETEKOM		0495 57 78 46	krisderoover@pandora.be	BTW BE 0442.397.006	
Betonbouw	Jacobs i3 bv	Industrieweg-Noord 1111 3660 OUDSBERGEN	089 85 35 35		pat@i3.be	BTW BE 0720.653.877	www.i3.be
Betonbouw	Kitvoegwerken Johny Daens bv	Ambachtstraat 58 3530 Helchteren	0495 25 41 55		info@kitvoegwerkendaens.be	BTW BE 0544.635.402	www.kitvoegwerkendaens.be
Betonbouw	Mannaerts Algemene Woningbouw	Pater Eymardstraat 15 3920 LOMMEL		0477 37 07 57		BTW BE 0878.494.455	www.mannaertswoningbouw.be
Betonbouw	Nachtergaele Peter	Nestor de Tierestraat 98 9700 OUDENAARDE		0475 71 16 10	peternachtergaele@skynet.be	BTW BE 0644.298.249	
Betonbouw	Peetermans Bouwwerken	Limberg 21 2230 HERSELT	014 54 04 24		info@peetermans-beton.be	BTW BE 0467.360.648	www.peetermans-beton.be
Betonbouw	SB-Woningbouw	Bedrijfsweg 1 3960 BREE		0497 44 91 80		BTW BE 0864.680.665	www.sb-woningbouw.be
Betonbouw	Verhellen Dries	De Spijker 1 9681 NUKERKE	0472 56 89 48		verhellen.dries@gmail.com	BTW BE 0838.045.752	
Bio-ecologisch bouwen	De Noordboom	Beekstraat 36 9600 RONSE	055 23 76 76		info@denoordboom.be	BTW BE 0422.964.936	www.denoordboom.be
